"","disciplina_A","disciplina_B","correlacao"
"796","Sistemas de Informação I","Lab. de Intercon. de Redes de Computadores",0.300222644122393
"177","Lab. de Estrutura de Dados e Algoritmos","Gerência da Informação",0.301021638464612
"858","Teoria da Computação","Álgebra Vetorial e Geometria Analítica",0.301036330354926
"262","Laboratório de Programação II","Banco de Dados I",0.30134773436133
"75","Fundamentos de Física Clássica","Estrutura de Dados e Algoritmos",0.301538243888743
"907","Teoria dos Grafos","Cálculo Diferencial e Integral II",0.301545721848867
"229","Laboratório de Engenharia de Software","Compiladores",0.301910245921087
"120","Inteligência Artificial I","Cálculo Diferencial e Integral II",0.301978623846822
"829","Sistemas Operacionais","Gerência da Informação",0.302034064627743
"887","Teoria da Computação","Métodos Estatisticos",0.302182328378727
"825","Sistemas Operacionais","Engenharia de Software I",0.302314412197126
"534","Probabilidade e Estatistica","Lab. de Intercon. de Redes de Computadores",0.302344814624062
"754","Sistemas de Informação II","Aval. de Desempenho de Sistemas Discretos",0.302457186843714
"531","Probabilidade e Estatistica","Interconexão de Redes de Computadores",0.302689678121962
"706","Redes de Computadores","Laboratório de Programação II",0.302836988597158
"83","Fundamentos de Física Moderna","Cálculo Diferencial e Integral II",0.302951716308059
"209","Lab. de Org. e Arquitetura de Computadores","Compiladores",0.303109095341983
"140","Interconexão de Redes de Computadores","Estrutura de Dados e Algoritmos",0.30314890802417
"434","Métodos Estatisticos","Fundamentos de Física Clássica",0.303336504537453
"530","Probabilidade e Estatistica","Inteligência Artificial I",0.304005524857711
"839","Sistemas Operacionais","Laboratório de Programação II",0.304038532595037
"898","Teoria da Computação","Sistemas de Informação II",0.304374211056279
"352","Matemática Discreta","Fundamentos de Física Moderna",0.304480633660056
"186","Lab. de Intercon. de Redes de Computadores","Banco de Dados II",0.304559732760905
"381","Métodologia Científica","Inteligência Artificial I",0.305615270810924
"347","Matemática Discreta","Compiladores",0.305699192490846
"245","Laboratório de Programação I","Análise e Técnica de Algoritmos",0.305718232890305
"515","Probabilidade e Estatistica","Álgebra Vetorial e Geometria Analítica",0.305719583876988
"646","Projeto em Computação II","Laboratório de Engenharia de Software",0.305926460947139
"906","Teoria dos Grafos","Cálculo Diferencial e Integral I",0.306234188278781
"778","Sistemas de Informação II","Matemática Discreta",0.306312841019954
"843","Sistemas Operacionais","Métodologia Científica",0.306547251034284
"746","Sistemas de Informação I","Engenharia de Software I",0.306930084403491
"409","Métodos e Software Numéricos","Inteligência Artificial I",0.307230735965367
"343","Matemática Discreta","Banco de Dados I",0.30742708612372
"134","Interconexão de Redes de Computadores","Banco de Dados II",0.30760297478847
"527","Probabilidade e Estatistica","Fundamentos de Física Moderna",0.307729397505059
"65","Fundamentos de Física Clássica","Álgebra Vetorial e Geometria Analítica",0.307810650680142
"880","Teoria da Computação","Laboratório de Programação I",0.307959358218319
"552","Programação I","Banco de Dados II",0.308472844396812
"7","Banco de Dados I","Álgebra Linear I",0.308755092572838
"203","Lab. de Org. e Arquitetura de Computadores","Análise e Técnica de Algoritmos",0.308960203845646
"933","Teoria dos Grafos","Probabilidade e Estatistica",0.308989806716695
"715","Redes de Computadores","Probabilidade e Estatistica",0.309260595437739
"87","Fundamentos de Física Moderna","Estrutura de Dados e Algoritmos",0.30951966418977
"123","Inteligência Artificial I","Engenharia de Software I",0.309642642888826
"668","Projeto em Computação I","Laboratório de Engenharia de Software",0.310185794383368
"159","Introdução à Computação","Fundamentos de Física Moderna",0.310470186216384
"12","Banco de Dados II","Álgebra Vetorial e Geometria Analítica",0.310473929355134
"32","Compiladores","Aval. de Desempenho de Sistemas Discretos",0.31051813670907
"516","Probabilidade e Estatistica","Análise e Técnica de Algoritmos",0.310544708425289
"480","Org. e Arquitetura de Computadores I","Métodos e Software Numéricos",0.310828434837492
"782","Sistemas de Informação I","Inteligência Artificial I",0.311309821217318
"555","Programação I","Compiladores",0.311479707760009
"738","Sistemas de Informação I","Álgebra Vetorial e Geometria Analítica",0.312047165798774
"522","Probabilidade e Estatistica","Compiladores",0.313527219543925
"519","Probabilidade e Estatistica","Banco de Dados II",0.314667602570031
