Source; Target; Label; Weight
Sistemas de Informação I; Lab. de Intercon. de Redes de Computadores; 0.300222644122393; 0.300222644122393
Lab. de Estrutura de Dados e Algoritmos; Gerência da Informação; 0.301021638464612; 0.301021638464612
Teoria da Computação; Álgebra Vetorial e Geometria Analítica; 0.301036330354926; 0.301036330354926
Laboratório de Programação II; Banco de Dados I; 0.30134773436133; 0.30134773436133
Fundamentos de Física Clássica; Estrutura de Dados e Algoritmos; 0.301538243888743; 0.301538243888743
Teoria dos Grafos; Cálculo Diferencial e Integral II; 0.301545721848867; 0.301545721848867
Laboratório de Engenharia de Software; Compiladores; 0.301910245921087; 0.301910245921087
Inteligência Artificial I; Cálculo Diferencial e Integral II; 0.301978623846822; 0.301978623846822
Sistemas Operacionais; Gerência da Informação; 0.302034064627743; 0.302034064627743
Teoria da Computação; Métodos Estatisticos; 0.302182328378727; 0.302182328378727
Sistemas Operacionais; Engenharia de Software I; 0.302314412197126; 0.302314412197126
Probabilidade e Estatistica; Lab. de Intercon. de Redes de Computadores; 0.302344814624062; 0.302344814624062
Sistemas de Informação II; Aval. de Desempenho de Sistemas Discretos; 0.302457186843714; 0.302457186843714
Probabilidade e Estatistica; Interconexão de Redes de Computadores; 0.302689678121962; 0.302689678121962
Redes de Computadores; Laboratório de Programação II; 0.302836988597158; 0.302836988597158
Fundamentos de Física Moderna; Cálculo Diferencial e Integral II; 0.302951716308059; 0.302951716308059
Lab. de Org. e Arquitetura de Computadores; Compiladores; 0.303109095341983; 0.303109095341983
Interconexão de Redes de Computadores; Estrutura de Dados e Algoritmos; 0.30314890802417; 0.30314890802417
Métodos Estatisticos; Fundamentos de Física Clássica; 0.303336504537453; 0.303336504537453
Probabilidade e Estatistica; Inteligência Artificial I; 0.304005524857711; 0.304005524857711
Sistemas Operacionais; Laboratório de Programação II; 0.304038532595037; 0.304038532595037
Teoria da Computação; Sistemas de Informação II; 0.304374211056279; 0.304374211056279
Matemática Discreta; Fundamentos de Física Moderna; 0.304480633660056; 0.304480633660056
Lab. de Intercon. de Redes de Computadores; Banco de Dados II; 0.304559732760905; 0.304559732760905
Métodologia Científica; Inteligência Artificial I; 0.305615270810924; 0.305615270810924
Matemática Discreta; Compiladores; 0.305699192490846; 0.305699192490846
Laboratório de Programação I; Análise e Técnica de Algoritmos; 0.305718232890305; 0.305718232890305
Probabilidade e Estatistica; Álgebra Vetorial e Geometria Analítica; 0.305719583876988; 0.305719583876988
Projeto em Computação II; Laboratório de Engenharia de Software; 0.305926460947139; 0.305926460947139
Teoria dos Grafos; Cálculo Diferencial e Integral I; 0.306234188278781; 0.306234188278781
Sistemas de Informação II; Matemática Discreta; 0.306312841019954; 0.306312841019954
Sistemas Operacionais; Métodologia Científica; 0.306547251034284; 0.306547251034284
Sistemas de Informação I; Engenharia de Software I; 0.306930084403491; 0.306930084403491
Métodos e Software Numéricos; Inteligência Artificial I; 0.307230735965367; 0.307230735965367
Matemática Discreta; Banco de Dados I; 0.30742708612372; 0.30742708612372
Interconexão de Redes de Computadores; Banco de Dados II; 0.30760297478847; 0.30760297478847
Probabilidade e Estatistica; Fundamentos de Física Moderna; 0.307729397505059; 0.307729397505059
Fundamentos de Física Clássica; Álgebra Vetorial e Geometria Analítica; 0.307810650680142; 0.307810650680142
Teoria da Computação; Laboratório de Programação I; 0.307959358218319; 0.307959358218319
Programação I; Banco de Dados II; 0.308472844396812; 0.308472844396812
Banco de Dados I; Álgebra Linear I; 0.308755092572838; 0.308755092572838
Lab. de Org. e Arquitetura de Computadores; Análise e Técnica de Algoritmos; 0.308960203845646; 0.308960203845646
Teoria dos Grafos; Probabilidade e Estatistica; 0.308989806716695; 0.308989806716695
Redes de Computadores; Probabilidade e Estatistica; 0.309260595437739; 0.309260595437739
Fundamentos de Física Moderna; Estrutura de Dados e Algoritmos; 0.30951966418977; 0.30951966418977
Inteligência Artificial I; Engenharia de Software I; 0.309642642888826; 0.309642642888826
Projeto em Computação I; Laboratório de Engenharia de Software; 0.310185794383368; 0.310185794383368
Introdução à Computação; Fundamentos de Física Moderna; 0.310470186216384; 0.310470186216384
Banco de Dados II; Álgebra Vetorial e Geometria Analítica; 0.310473929355134; 0.310473929355134
Compiladores; Aval. de Desempenho de Sistemas Discretos; 0.31051813670907; 0.31051813670907
Probabilidade e Estatistica; Análise e Técnica de Algoritmos; 0.310544708425289; 0.310544708425289
Org. e Arquitetura de Computadores I; Métodos e Software Numéricos; 0.310828434837492; 0.310828434837492
Sistemas de Informação I; Inteligência Artificial I; 0.311309821217318; 0.311309821217318
Programação I; Compiladores; 0.311479707760009; 0.311479707760009
Sistemas de Informação I; Álgebra Vetorial e Geometria Analítica; 0.312047165798774; 0.312047165798774
Probabilidade e Estatistica; Compiladores; 0.313527219543925; 0.313527219543925
Probabilidade e Estatistica; Banco de Dados II; 0.314667602570031; 0.314667602570031
Gerência da Informação; Álgebra Linear I; 0.314713423275531; 0.314713423275531
Inteligência Artificial I; Aval. de Desempenho de Sistemas Discretos; 0.315339984705447; 0.315339984705447
Métodos e Software Numéricos; Laboratório de Engenharia de Software; 0.315376952671294; 0.315376952671294
Estrutura de Dados e Algoritmos; Banco de Dados II; 0.315922452044069; 0.315922452044069
Sistemas Operacionais; Aval. de Desempenho de Sistemas Discretos; 0.315930460301107; 0.315930460301107
Redes de Computadores; Inteligência Artificial I; 0.315941105389365; 0.315941105389365
Inteligência Artificial I; Estrutura de Dados e Algoritmos; 0.316041602094217; 0.316041602094217
Probabilidade e Estatistica; Cálculo Diferencial e Integral II; 0.316131245836399; 0.316131245836399
Cálculo Diferencial e Integral I; Banco de Dados II; 0.316295737029092; 0.316295737029092
Programação I; Álgebra Vetorial e Geometria Analítica; 0.31678958454355; 0.31678958454355
Lógica Matemática; Aval. de Desempenho de Sistemas Discretos; 0.317025637058648; 0.317025637058648
Cálculo Diferencial e Integral I; Álgebra Linear I; 0.317674153638708; 0.317674153638708
Lógica Matemática; Lab. de Intercon. de Redes de Computadores; 0.317823151336435; 0.317823151336435
Engenharia de Software I; Banco de Dados II; 0.318091888376602; 0.318091888376602
Engenharia de Software I; Banco de Dados I; 0.318339822308413; 0.318339822308413
Laboratório de Engenharia de Software; Engenharia de Software I; 0.320104987096916; 0.320104987096916
Lab. de Intercon. de Redes de Computadores; Análise e Técnica de Algoritmos; 0.320334812837621; 0.320334812837621
Interconexão de Redes de Computadores; Análise e Técnica de Algoritmos; 0.320683732968295; 0.320683732968295
Teoria da Computação; Inteligência Artificial I; 0.320935976103188; 0.320935976103188
Inteligência Artificial I; Álgebra Linear I; 0.321019605720667; 0.321019605720667
Redes de Computadores; Matemática Discreta; 0.321324343508623; 0.321324343508623
Lab. de Org. e Arquitetura de Computadores; Estrutura de Dados e Algoritmos; 0.321363538513324; 0.321363538513324
Programação II; Cálculo Diferencial e Integral I; 0.321380332977224; 0.321380332977224
Paradigmas de Ling. de Programação; Álgebra Linear I; 0.322002782489074; 0.322002782489074
Programação II; Gerência da Informação; 0.322087287320011; 0.322087287320011
Org. e Arquitetura de Computadores I; Gerência da Informação; 0.322427794312571; 0.322427794312571
Sistemas de Informação II; Introdução à Computação; 0.322518273335436; 0.322518273335436
Probabilidade e Estatistica; Cálculo Diferencial e Integral I; 0.322856861121011; 0.322856861121011
Teoria da Computação; Sistemas Operacionais; 0.32288311841145; 0.32288311841145
Redes de Computadores; Programação I; 0.323309267637336; 0.323309267637336
Lógica Matemática; Interconexão de Redes de Computadores; 0.323419162233729; 0.323419162233729
Org. e Arquitetura de Computadores I; Laboratório de Programação II; 0.323541500792635; 0.323541500792635
Teoria da Computação; Laboratório de Programação II; 0.32359904904908; 0.32359904904908
Sistemas Operacionais; Introdução à Computação; 0.323683571845114; 0.323683571845114
Lab. de Estrutura de Dados e Algoritmos; Aval. de Desempenho de Sistemas Discretos; 0.323775801672717; 0.323775801672717
Sistemas de Informação I; Gerência da Informação; 0.324925444448728; 0.324925444448728
Interconexão de Redes de Computadores; Engenharia de Software I; 0.325213913122618; 0.325213913122618
Introdução à Computação; Banco de Dados II; 0.326032368260375; 0.326032368260375
Redes de Computadores; Métodos Estatisticos; 0.326575306756119; 0.326575306756119
Matemática Discreta; Análise e Técnica de Algoritmos; 0.327117982338964; 0.327117982338964
Paradigmas de Ling. de Programação; Lab. de Org. e Arquitetura de Computadores; 0.327453906321716; 0.327453906321716
Redes de Computadores; Fundamentos de Física Clássica; 0.327650664546094; 0.327650664546094
Sistemas de Informação I; Probabilidade e Estatistica; 0.329397433390938; 0.329397433390938
Laboratório de Programação I; Compiladores; 0.329409660796266; 0.329409660796266
Fundamentos de Física Clássica; Cálculo Diferencial e Integral I; 0.329547429789363; 0.329547429789363
Estrutura de Dados e Algoritmos; Álgebra Vetorial e Geometria Analítica; 0.329860063480975; 0.329860063480975
