Id; Label
Sistemas de Informação I; Lab. de Intercon. de Redes de Computadores
Lab. de Estrutura de Dados e Algoritmos; Gerência da Informação
Teoria da Computação; Álgebra Vetorial e Geometria Analítica
Laboratório de Programação II; Banco de Dados I
Fundamentos de Física Clássica; Estrutura de Dados e Algoritmos
Teoria dos Grafos; Cálculo Diferencial e Integral II
Laboratório de Engenharia de Software; Compiladores
Inteligência Artificial I; Cálculo Diferencial e Integral II
Sistemas Operacionais; Gerência da Informação
Teoria da Computação; Métodos Estatisticos
Sistemas Operacionais; Engenharia de Software I
Probabilidade e Estatistica; Lab. de Intercon. de Redes de Computadores
Sistemas de Informação II; Aval. de Desempenho de Sistemas Discretos
Probabilidade e Estatistica; Interconexão de Redes de Computadores
Redes de Computadores; Laboratório de Programação II
Fundamentos de Física Moderna; Cálculo Diferencial e Integral II
Lab. de Org. e Arquitetura de Computadores; Compiladores
Interconexão de Redes de Computadores; Estrutura de Dados e Algoritmos
Métodos Estatisticos; Fundamentos de Física Clássica
Probabilidade e Estatistica; Inteligência Artificial I
Sistemas Operacionais; Laboratório de Programação II
Teoria da Computação; Sistemas de Informação II
Matemática Discreta; Fundamentos de Física Moderna
Lab. de Intercon. de Redes de Computadores; Banco de Dados II
Métodologia Científica; Inteligência Artificial I
Matemática Discreta; Compiladores
Laboratório de Programação I; Análise e Técnica de Algoritmos
Probabilidade e Estatistica; Álgebra Vetorial e Geometria Analítica
Projeto em Computação II; Laboratório de Engenharia de Software
Teoria dos Grafos; Cálculo Diferencial e Integral I
Sistemas de Informação II; Matemática Discreta
Sistemas Operacionais; Métodologia Científica
Sistemas de Informação I; Engenharia de Software I
Métodos e Software Numéricos; Inteligência Artificial I
Matemática Discreta; Banco de Dados I
Interconexão de Redes de Computadores; Banco de Dados II
Probabilidade e Estatistica; Fundamentos de Física Moderna
Fundamentos de Física Clássica; Álgebra Vetorial e Geometria Analítica
Teoria da Computação; Laboratório de Programação I
Programação I; Banco de Dados II
Banco de Dados I; Álgebra Linear I
Lab. de Org. e Arquitetura de Computadores; Análise e Técnica de Algoritmos
Teoria dos Grafos; Probabilidade e Estatistica
Redes de Computadores; Probabilidade e Estatistica
Fundamentos de Física Moderna; Estrutura de Dados e Algoritmos
Inteligência Artificial I; Engenharia de Software I
Projeto em Computação I; Laboratório de Engenharia de Software
Introdução à Computação; Fundamentos de Física Moderna
Banco de Dados II; Álgebra Vetorial e Geometria Analítica
Compiladores; Aval. de Desempenho de Sistemas Discretos
Probabilidade e Estatistica; Análise e Técnica de Algoritmos
Org. e Arquitetura de Computadores I; Métodos e Software Numéricos
Sistemas de Informação I; Inteligência Artificial I
Programação I; Compiladores
Sistemas de Informação I; Álgebra Vetorial e Geometria Analítica
Probabilidade e Estatistica; Compiladores
